"CTC-01","  77","  76","  77","  77","  76","  77","  76","  77","  76","  77","  77","  77","  72","  77","  73","  76","  77","  77","  76","  76","  76","  77","  76","  76","  76","  77","  77","  77","  76","  76","  77","  76","  77","  77","  77","  77","  75","  74","  77","  76","  76","  77","  74","  75","  78","  76","  76","  76","  77","  77","  76","  72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DCR-01","  18","  18","  19","  17","  18","  23","  20","  10","  22","  20","  18","  22","  22","   0","  24","  21","  20","  20","  23","  20","  23","  23","  23","  25","  21","  16","  19","  19","  20","  23","  20","  33","  15","  16","  24","  25","  19","  16","  30","  21","  22","  25","  24","  24","  21","  27","  22","  30","  21","  15","  17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DCR-02","  38","  47","   0","  15","  15","  34","  54","  63","  56","  59","  57","  57","  29","  58","  55","  62","  32","  39","  38","  32","  39","  54","  75","  50","  56","  35","  52","  38","  57","  48","  55","  57","  57","  63","  53","  59","  31","  68","  67","  67","  59","  67","  60","  68","  62","  57","  63","  64","  57","  58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EKP-01","  34","  22","  40","  26","  35","  44","  36","  47","  43","  23","  30","  31","  29","  48","  49","  42","  27","  30","  26","  45","  32","  46","  39","  50","  31","  44","  37","  37","  40","  39","  53","  55","  40","  43","  33","  48","  46","  67","  30","  43","  41","  35","  35","  41","  34","  34","  51","  26","  38","  43","  58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FMS-01","   7","   8","  12","  10","  11","   9","   9","  11","  10","  10","  10","  10","   7","   7","   7","   7","   9","   9","  11","   7","   9","   9","  10","  13","  12","   9","  12","   9","  12","  10","  10","  10","  15","  12","   8","   9","   8","  11","  10","  12","   9","   7","  12","   9","  10","   6","   5","   5","   5","   5","   5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FMS-02","  27","  25","  24","  19","  28","  21","  24","  27","  28","  21","  21","  20","  20","  25","  23","  27","  23","  21","  21","  23","  30","  30","  23","  22","  23","  22","  21","  22","  24","  28","  18","  23","  20","  24","  25","  26","  24","  27","  19","  22","  19","  26","  24","  22","  24","  22","  23","  21","  23","  26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KBL-01","  77","  77","  78","  76","  84","  78","  79","  77","  77","  76","  80","  79","  79","  79","  78","  77","  76","  78","  78","  79","  78","  77","  77","  73","  77","  74","  79","  78","  77","  77","  77","  74","  75","  78","  77","  76","  80","  77","  77","  76","  78","  75","  77","  78","  80","  77","  77","  78","  75","  78","  78","  78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KBL-02","  54","  63","  47","  42","  54","  62","  50","  47","  64","  41","  57","  61","  65","  54","  42","  55","  53","  45","  61","  61","  63","  59","  37","  41","  64","  69","  47","  60","  61","  61","  61","  50","  45","  61","  48","  76","  52","  51","  58","  53","  56","  48","  50","  39","  31","  75","  76","  75","  41","  48","  75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KBL-03","  73","  77","  76","  77","  76","  74","  77","  71","  74","  77","  77","  76","  76","  76","  78","  75","  78","  77","  77","  76","  77","  72","  75","  77","  76","  78","  75","  76","  76","  77","  79","  77","  77","  75","  76","  76","  77","  75","  74","  78","  76","  75","  77","  81","  77","  84","  70","  78","  77","  76","  77","  82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KCR-01","  74","  76","  79","  75","  81","  74","  76","  77","  75","  77","  76","  73","  73","  77","  76","  77","  78","  77","  76","  77","  77","  76","  77","  72","  74","  77","  80","  76","  77","  76","  76","  73","  80","  76","  76","  76","  77","  77","  76","  77","  77","  76","  78","  78","  76","  74","  77","  78","  79","  77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RSC-01","   0","   3","   2","   1","   7","   9","   9","   7","   3","   2","   2","   2","   2","  12","   6","  11","   8","   7","   7","   6","   7","   9","   7","   7","   6","   7","   7","   6","   6","   8","   7","   6","   2","   5","   2","   2","   6","  11","   7","   7","   6","   2","   1","   2","  10","   2","   6","   2","   6","   7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
